Peddapalli,Green Zone
Nagarkurnool,Green Zone
Mulugu,Green Zone
Bhadradri Kothagudem,Green Zone
Mahabubabad,Green Zone
Siddipet,Green Zone
Warangal Rural,Green Zone
Wanaparthy,Green Zone
Yadadri Bhuvanagiri,Green Zone
TRIPURA,
District,Zone
North Tripura,Orange Zone
Gomati,Orange Zone
Dhalai,Green Zone
South Tripura,Green Zone
West Tripura,Green Zone
Khowai,Green Zone
Sepahijala,Green Zone
Unakoti,Green Zone
UTTAR PRADESH,
District,Zone
Agra,Red Zone
Lucknow,Red Zone
Saharanpur,Red Zone
Kanpur Nagar,Red Zone
Moradabad,Red Zone
Firozabad,Red Zone
Gautam Buddh Nagar (Noida and Greater Noida),Red Zone
Bulandshahr,Red Zone
Meerut,Red Zone
Raebareli,Red Zone
Varanasi (Banaras),Red Zone
Biinor,Red Zone
Amroha,Red Zone
Sant Kabir Nagar,Red Zone
Aligarh,Red Zone
Muzaffarnagar,Red Zone
Rampur,Red Zone
Mathura,Red Zone
Bareilly,Red Zone
Ghaziabad,Orange Zone
Hapur,Orange Zone
Baghpat,Orange Zone
Basti,Orange Zone
Budaun,Orange Zone
Sambhal,Orange Zone
Auraiya,Orange Zone
Shamli,Orange Zone
Sitapur,Orange Zone
Bahraich,Orange Zone
Kannauj,Orange Zone
Azamgarh,Orange Zone
Mainpuri,Orange Zone
Shravasti,Orange Zone
Banda,Orange Zone
Jaunpur,Orange Zone
Etah,Orange Zone
Kasganj,Orange Zone
Sultanpur,Orange Zone
Prayagraj (Allahabad),Orange Zone
Jalaun,Orange Zone
Mirzapur,Orange Zone
Etawah,Orange Zone
Pratapgarh,Orange Zone
Ghazipur,Orange Zone
Gonda,Orange Zone
Mau,Orange Zone
Bhadohi,Orange Zone
Unnao,Orange Zone
Pilibhit,Orange Zone
Balrampur,Orange Zone
Ayodhya,Orange Zone
Gorakhpur,Orange Zone
Jhansi,Orange Zone
Hardoi,Orange Zone
Kaushambi,Orange Zone
Barabanki,Green Zone
Kheri,Green Zone
Hathras,Green Zone
Maharajganj,Green Zone
Shahjahanpur,Green Zone
Ambedkar Nagar,Green Zone
Ballia,Green Zone
Chandauli,Green Zone
Chitrakoot,Green Zone
Deoria,Green Zone
Farrukhabad,Green Zone
Fatehpur,Green Zone
Hamirpur,Green Zone
Kanpur Dehat,Green Zone
Kushi Nagar,Green Zone
Lalitpur,Green Zone
Mahoba,Green Zone
Siddharth Nagar,Green Zone
Sonbhadra,Green Zone
Amethi,Green Zone
UTTARAKHAND,
District,Zone
Haridwar,Red Zone
Dehradun,Orange Zone
Nainital,Orange Zone
Udham Singh Nagar,Green Zone
Almora,Green Zone
Pauri Garhwal,Green Zone
Bageshwar,Green Zone
Chamoli,Green Zone
Champawat,Green Zone
Pithoragarh,Green Zone
Rudraprayag,Green Zone
Tehri Garhwal,Green Zone
Uttarkashi,Green Zone
WEST BENGAL,
District,Zone
Kolkata,Red Zone
Howrah,Red Zone
North 24 Parganas,Red Zone
South 24 Parganas,Red Zone
West Medinipur (Paschim Medinipur),Red Zone
Medinipur East (Purba Medinipur),Red Zone
Darjeeling,Red Zone
Jalpaiguri,Red Zone
Kalimpong,Red Zone
Malda,Red Zone
Hooghly,Orange Zone
Paschim Bardhaman,Orange Zone
Nadia,Orange Zone
Purba Bardhaman,Orange Zone
Murshidabad,Orange Zone
Uttar Dinajpur,Geen Zone
Bankura,Geen Zone
Birbhum,Geen Zone
Coochbehar,Geen Zone
Dakshin Dinajpur,Geen Zone
Purulia,Geen Zone
Alipurduar,Geen Zone
Jhargram,Geen Zone
